DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r
1.251744,19.699,2.646,1.706,0.857,23.536,20.948,19.657,19.278,19.064,0.24,3.88,0.14300000000000002
1.264626,20.571,18.024,5.701,0.618,25.497,20.395,20.419,20.687,24.652,0.1279,5.08,0.382
1.253247,20.206,1.975,0.996,0.911,22.593,20.886,20.206,19.973,19.751,0.2067,2.39,0.08899999999999997
1.242038,21.704,2.127,1.899,0.2,22.422,22.913,21.445,20.977,21.269,0.4504,0.98,0.8
1.261587,21.01,2.516,0.726,0.642,22.882,21.581,21.006,20.674,20.559,0.2387,1.88,0.358
1.264944,19.08,6.485,10.377,0.509,20.146,19.379,19.011,18.699,18.872,0.1276,1.14,0.491
1.257348,21.631,1.42,0.794,0.05,22.104,22.85,21.475,20.253,19.713,0.6394,0.63,0.95
1.265573,20.632,2.834,0.523,0.215,21.708,21.226,20.828,20.454,20.433,0.3427,0.88,0.785
1.266245,20.226,7.361,0.877,0.555,23.695,21.761,20.326,19.74,19.138,0.3922,3.37,0.44499999999999995
1.279147,20.572,2.26,1.812,0.597,22.248,21.182,20.482,20.409,20.191,0.2652,1.77,0.403
1.255156,17.173,4.01,3.298,0.493,19.402,17.959,17.218,16.768,16.459,0.0837,2.18,0.507
1.269043,20.382,1.466,0.297,0.712,21.548,20.679,20.337,20.021,20.242,0.1683,1.21,0.28800000000000003
1.256528,20.645,2.759,3.682,0.222,22.666,20.88,20.493,20.223,20.711,0.1122,2.17,0.778
1.278959,21.343,2.971,1.277,0.05,22.978,22.596,21.847,21.727,23.213,0.1541,1.13,0.95
1.259524,20.953,2.751,1.168,0.128,24.771,21.717,21.047,20.882,20.813,0.205,3.72,0.872
1.278557,21.933,2.971,2.89,0.15,27.227,23.461,21.648,21.758,24.05,0.2275,5.58,0.85
1.277185,20.463,2.156,1.258,0.931,22.921,21.215,20.191,19.739,19.264,0.3673,2.73,0.06899999999999995
1.291313,21.412,1.401,0.235,0.8,23.977,22.432,21.313,21.005,20.83,0.3486,2.66,0.19999999999999996
1.273244,21.185,1.987,1.203,0.368,25.495,22.294,21.201,20.834,20.876,0.3209,4.29,0.632
1.280391,21.327,1.63,0.586,0.412,25.926,23.232,21.372,20.728,20.05,0.4443,4.55,0.5880000000000001
1.271065,21.864,1.945,0.671,0.4,23.546,22.75,21.841,21.736,21.152,0.3559,1.7,0.6
1.279233,20.923,2.378,1.517,0.206,22.31,22.026,21.01,20.572,20.469,0.482,1.3,0.794
1.29754,20.494,2.971,3.984,0.423,21.34,21.372,20.206,19.841,19.677,0.4362,1.13,0.577
1.292547,20.725,2.543,1.867,0.393,22.203,21.19,20.568,20.496,20.402,0.2745,1.63,0.607
1.292346,21.136,1.466,0.564,0.503,22.743,22.214,21.06,20.796,20.268,0.4072,1.68,0.497
